timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694439379506,759,OS Process Sampler - Java version checking,0,OK,Thread Group - Java version cheking 1-1,text,true,,177,0,1,9,null,0,0,0
1694439380309,534,HTTP Request Create Project,200,OK,Thread Group - API requests 2-9,text,false,,235,458,14,14,http://localhost/jsonrpc.php,534,0,5
1694439379983,754,HTTP Request Create Project,200,OK,Thread Group - API requests 2-1,text,false,,235,458,13,13,http://localhost/jsonrpc.php,751,0,147
1694439380041,695,HTTP Request Create Project,200,OK,Thread Group - API requests 2-6,text,false,,235,458,13,13,http://localhost/jsonrpc.php,693,0,90
1694439379984,797,HTTP Request Create Project,200,OK,Thread Group - API requests 2-2,text,false,,235,458,13,13,http://localhost/jsonrpc.php,797,0,146
1694439379998,757,HTTP Request Create Project,200,OK,Thread Group - API requests 2-3,text,false,,235,458,13,13,http://localhost/jsonrpc.php,756,0,132
1694439379985,795,HTTP Request Create Project,200,OK,Thread Group - API requests 2-4,text,false,,235,458,13,13,http://localhost/jsonrpc.php,795,0,145
1694439380213,566,HTTP Request Create Project,200,OK,Thread Group - API requests 2-8,text,false,,235,458,13,13,http://localhost/jsonrpc.php,566,0,7
1694439380116,621,HTTP Request Create Project,200,OK,Thread Group - API requests 2-7,text,false,,235,458,13,13,http://localhost/jsonrpc.php,618,0,14
1694439379985,751,HTTP Request Create Project,200,OK,Thread Group - API requests 2-5,text,false,,235,457,13,13,http://localhost/jsonrpc.php,749,0,145
1694439380496,426,HTTP Request Create Project,200,OK,Thread Group - API requests 2-11,text,true,,235,458,14,14,http://localhost/jsonrpc.php,426,0,5
1694439380593,340,HTTP Request Create Project,200,OK,Thread Group - API requests 2-12,text,true,,235,458,14,14,http://localhost/jsonrpc.php,340,0,4
1694439380710,231,HTTP Request Create Project,200,OK,Thread Group - API requests 2-13,text,true,,235,458,14,14,http://localhost/jsonrpc.php,231,0,3
1694439380407,534,HTTP Request Create Project,200,OK,Thread Group - API requests 2-10,text,false,,235,458,14,14,http://localhost/jsonrpc.php,534,0,3
1694439380821,177,HTTP Request Create Project,200,OK,Thread Group - API requests 2-14,text,true,,235,458,15,15,http://localhost/jsonrpc.php,177,0,12
1694439380895,135,HTTP Request Delete project,200,OK,Thread Group - API requests 2-5,text,true,,234,435,15,15,http://localhost/jsonrpc.php,135,0,0
1694439380888,142,HTTP Request Delete project,200,OK,Thread Group - API requests 2-3,text,true,,234,435,15,15,http://localhost/jsonrpc.php,142,0,0
